167;01187;Hotonnes;1;306
168;01188;Illiat;1;570
169;01189;Injoux-Génissiat;1;1055
170;01190;Innimond;1;114
171;01191;Izenave;1;164
172;01192;Izernore;1;2278
173;01193;Izieu;1;201
174;01194;Jassans-Riottier;1;5976
175;01195;Jasseron;1;1552
176;01196;Jayat;1;1049
177;01197;Journans;1;324
178;01198;Joyeux;1;223
179;01199;Jujurieux;1;2097
180;01200;Labalme;1;204
181;01202;Lagnieu;1;6756
182;01203;Laiz;1;1130
183;01204;Lalleyriat;1;239
184;01205;Lancrans;1;1052
185;01206;Lantenay;1;257
186;01207;Lapeyrouse;1;292
187;01208;Lavours;1;148
188;01209;Léaz;1;569
189;01210;Lélex;1;225
190;01211;Lent;1;1328
191;01212;Lescheroux;1;683
192;01213;Leyment;1;1273
193;01214;Leyssard;1;153
194;01215;Lhôpital;1;59
195;01216;Lhuis;1;854
196;01218;Lochieu;1;91
197;01219;Lompnas;1;149
198;01221;Lompnieu;1;122
199;01224;Loyettes;1;2645
200;01225;Lurcy;1;393
201;01227;Magnieu;1;419
202;01228;Maillat;1;668
203;01229;Malafretaz;1;952
204;01230;Mantenay-Montlin;1;288
205;01231;Manziat;1;1924
206;01232;Marboz;1;2182
207;01233;Marchamp;1;118
208;01234;Marignieu;1;148
209;01235;Marlieux;1;887
210;01236;Marsonnas;1;1005
211;01237;Martignat;1;1604
212;01238;Massieux;1;2428
213;01239;Massignieu-de-Rives;1;608
214;01240;Matafelon-Granges;1;652
215;01241;Meillonnas;1;1298
216;01242;Mérignat;1;139
217;01243;Messimy-sur-Saône;1;1209
218;01244;Meximieux;1;7268
219;01245;Bohas-Meyriat-Rignat;1;811
220;01246;Mézériat;1;2072
221;01247;Mijoux;1;379
222;01248;Mionnay;1;2077
223;01249;Miribel;1;9066
224;01250;Misérieux;1;1762
225;01252;Mogneneins;1;727
226;01254;Montagnat;1;1646
227;01255;Montagnieu;1;495
228;01257;Montanges;1;330
229;01258;Montceaux;1;1164
230;01259;Montcet;1;665
231;01260;Le Montellier;1;244
232;01261;Monthieux;1;599
233;01262;Montluel;1;6999
234;01263;Montmerle-sur-Saône;1;3823
235;01264;Montracol;1;967
236;01265;Montréal-la-Cluse;1;3457
237;01266;Montrevel-en-Bresse;1;2362
238;01267;Nurieux-Volognat;1;1058
239;01268;Murs-et-Gélignieux;1;241
240;01269;Nantua;1;3713
241;01272;Neuville-les-Dames;1;1504
242;01273;Neuville-sur-Ain;1;1571
243;01274;Les Neyrolles;1;637
244;01275;Neyron;1;2472
245;01276;Niévroz;1;1488
246;01277;Nivollet-Montgriffon;1;143
247;01279;Oncieu;1;91
