Re_1,x1,Re_2,x2,Re_3,x3,Re_4,x4,Re_5,x5
93.68522832724398,3.0300650880278326,1296.584663106185,23.00608699602204,1397.2926495304969,25.02686584598213,436.710166840797,7.612703521761986,428.96968831725053,11.280118625039748
140.6822886585894,3.973095218009206,1384.837020357043,21.157178177665003,1606.7579932381132,24.257003614559473,490.5391988267281,8.253038631009936,482.3626370060806,13.535519373908983
281.73706513345314,6.566655202175227,1601.079825307108,20.286504130461587,1802.768350216419,23.318645805618473,578.2010266127618,8.591197866306729,590.1024665961493,14.513364784975892
382.66309320631535,7.779901232324676,1803.7404525662073,19.71839531729603,1870.3158359236595,23.151707668446903,631.9755481865554,9.433416180507344,636.854230072875,16.364869337244237
476.5481930447311,10.069727902192746,1877.9291234855514,19.95535337672535,2100.367945281929,21.137288366569543,685.7682398977281,10.208340093057068,690.755942608323,16.736026839888638
577.4651360489036,11.316621133167644,2100.976644884133,18.882925911264834,2323.560827779544,19.52650568790194,779.989487277659,11.253220332383734,784.3866605234298,19.967975132869135
631.1669770731801,12.4280170539718,2316.9468977735096,19.021667888824716,,,880.906430281832,12.500113563358624,898.8857812185674,20.91230312980617
678.2821432974906,12.933633573222416,,,,,975.1640179365213,13.410404999383516,946.0282026489467,21.316978046580452
705.1830316874216,13.30427192908455,,,,,1083.0037832821758,14.01813120137055,993.1887942167045,21.654358561703845
785.9311222006631,14.247950992543757,,,,,1231.626421975483,13.583572897942233,1087.4100415966363,22.69923880103051
934.0359119786631,15.731283136165715,,,,,1299.7190118040999,11.397802711244069,1188.4541755624632,23.475071220449195
960.9731406433525,15.967332688726074,,,,,1381.0212915074076,10.289002524351233,1235.787383435324,23.173154919889164
994.6696604131107,16.169864827156573,,,,,1597.2550113887828,9.451975677973252,1296.6845988617706,22.63596778694216
1082.068021207146,17.483792886391214,,,,,1793.0109864437795,9.455739492144666,1391.2965041953548,22.234018390774757
1176.4800550295586,17.822081908383574,,,,,1880.863600672295,9.087307510107138,1593.8026852867315,22.23791199164173
1237.2864197691097,17.621366783691002,,,,,2103.920207139566,7.981232843821182,1803.2044335135206,21.703580165997188
1291.896767662347,15.36804262195082,,,,,2421.4161026353186,7.112505597051246,1890.9661970551397,21.6716201922141
1393.613196711205,13.653982180286697,,,,,2617.4082894762455,6.241442189761123,2101.1038358457877,18.411865099708628
1589.3146613540644,13.859629199410776,,,,,2988.397069416414,7.257996482780548,2290.136860070474,18.314557524708142
1798.5619634131308,13.897299787798758,,,,,3049.5486667661694,5.778687726721131,2418.60881641023,17.50949065211325
1879.58260598706,13.831562826494654,,,,,3339.7166756435804,6.1207405628849045,2607.769031596571,16.941122265556565
2028.1416491995406,13.632534928844443,,,,,3461.8199988319197,3.9023614689258252,2999.3082369126337,16.847708291423046
2102.4484260118497,13.432079377543012,,,,,3610.424467387848,3.535097567148398,3053.437076165322,16.377685773431367
2149.836144296848,12.928279872030316,,,,,3921.079306160326,3.0027125419373277,3330.277289275077,16.080182220520577
2285.1945827033273,11.61863477374935,,,,,4899.786500885795,3.2907092193979253,3438.734839291624,14.399898766377461
2427.030675085497,11.318535486927239,,,,,5595.084977838922,3.203135646564874,3634.8269618881372,13.158716150007464
2501.219346004841,11.555493546356566,,,,,6107.855339749123,4.121473857714847,3925.249352688855,12.558647363058817
2602.5360320313566,11.321909941011953,,,,,6559.728486232876,5.57699920181183,4884.32371397608,10.558245024302558
2818.5971356076293,11.124179910317395,,,,,1183.911641217659,15.298671633170883,5593.48600574955,9.12504299184291
2993.920791179696,11.800498380910973,,,,,,,6093.219294090162,8.327114387504139
3041.2358289151775,11.565876482001826,,,,,,,6559.519529653016,6.350884820797027
3264.4741367562415,9.786857799207006,,,,,,,,
3345.340333162447,10.293123251935448,,,,,,,,
3446.6933594637217,9.924950843289054,,,,,,,,
3622.607544500614,8.414201260228822,,,,,,,,
3676.5728525168884,8.549828357095116,,,,,,,,
3804.7904269333353,8.686883107612637,,,,,,,,
3919.616610101299,8.419911874833716,,,,,,,,
4290.905197308224,8.326108540613504,,,,,,,,
4493.474973880428,8.09447173570237,,,,,,,,
4696.035665383943,7.896482131616686,,,,,,,,
5054.169073128314,6.523825592638502,,,,,,,,
5594.376342481131,5.8276173109494565,,,,,,,,
5958.832958033472,6.0365089974626756,,,,,,,,
6646.817954691465,8.03493208911155,,,,,,,,
6862.833632924288,8.005438062544208,,,,,,,,
7193.60281377556,7.9781504098014935,,,,,,,,
